x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
0.4765342552,-1.190564669,-0.198415163,0.5276738516,-1.188870798,-1.554501689,-0.12723822,-0.073060428,0.4132860099,0.3783487245,0.9753567481,-0.469692575,0.6088379606,0.6200008374,-1.900004663,-2.270876709
-0.215775002,1.3128933483,-0.038786549,-0.276478708,1.2890367023,-0.247952234,-0.436028321,0.3769038843,-0.152528881,0.223297636,0.7780349395,-0.809951684,-0.3297673,-1.436291184,-1.697262554,2.2478248863
0.9424473085,-1.530042117,-1.272923491,0.9521139804,-1.5541145,0.3645771029,-0.449564851,-0.648893692,-1.078928178,0.6282243972,1.1808404749,1.0087893772,-2.057851172,-0.614528211,1.1722628757,-1.865155414
0.2668620659,0.6670564002,-0.409569945,0.3597794631,0.6730869598,0.8827897048,-0.81954103,-1.872478025,0.4365380437,0.961235071,-0.548375932,0.9812366251,2.2845245592,0.0741873705,1.9707150911,2.0065472643
2.1448562434,1.204921379,0.0187984366,2.1685973289,1.2419730328,0.0077405786,0.1603229541,-0.354496311,0.0521348038,-1.755026699,0.5123125407,-0.380543306,-1.509336431,0.8187424074,0.1532809486,3.7123745668
1.0492236853,-1.551380162,1.6578208665,1.0696187502,-1.590947054,-0.496798233,-1.642917746,-0.418766588,-0.075772474,2.9328500598,-1.322508376,0.6234877547,0.3327204719,-0.660346188,-0.715353822,1.1631601663
-0.146433831,-0.635542053,1.6534387869,-0.15014083,-0.573194735,-0.33969029,1.5616989736,1.2340960701,-0.220774691,0.0570502306,1.0893680745,-0.308284247,-1.279763897,-2.57050831,0.2150963902,1.0354208116
-0.691632116,1.469513431,-1.189626985,-0.625505903,1.4629046576,1.2289497879,1.6969511848,0.9564841001,2.070899998,0.5951017552,-0.32377066,-0.30409337,1.427486163,1.6631474327,0.4118630136,-0.551282034
1.6396761366,1.3422121286,-0.171953922,1.6695101677,1.3901738446,1.2619662262,-1.417763801,-0.618657499,-1.372636149,-1.561356768,1.0095114797,-1.200066921,0.06139767,0.3521103535,0.4698657796,2.0803759712
0.9168840364,-0.630617403,0.9540959478,0.8654702454,-0.658509608,-2.051231017,0.0322865213,-0.26348244,-0.165504792,0.3228069768,-0.167951585,-0.888464013,0.2619468798,-0.611783404,-0.480919596,1.2225317771
-0.125957864,-0.491592878,-1.0476779,-0.060516951,-0.421603081,0.0848570664,-0.108433304,0.2231216562,-1.792216413,-0.162072288,1.7556886006,1.13802656,0.051413484,-0.399160931,-0.47022495,-1.490050816
-0.387452501,-0.24038145,1.0319561222,-0.33600537,-0.263544824,0.2612084955,0.8313226145,-0.134522928,1.0088361847,0.494221823,0.6574698755,-0.112249843,0.2696587764,0.3936259983,0.7064780467,0.3749109577
0.044173563,-0.42815214,0.2780905861,0.1156762329,-0.470948963,2.8305393889,-1.256526243,-1.347876714,0.2563820048,1.8851948659,-0.151616024,0.8538131405,0.4513941071,0.9447960986,-0.161059396,0.4901151634
0.248922679,-2.008416611,1.5488627189,0.2821365464,-1.975864704,-0.302642439,0.4600874289,0.4726539211,-0.494446518,1.7918963472,0.3331407321,1.0850800847,1.7098176039,-1.249930377,0.1060006459,0.0254772447
-0.286766711,1.3382229064,0.4801317351,-0.230295384,1.3414271301,-0.593348555,-1.726022027,-1.312560509,-0.923947174,-1.838533512,0.6466404345,-0.442941856,0.6541196203,0.2242241899,-0.079076091,2.6117400303
-1.392441083,-0.668567354,-1.815948365,-1.394904881,-0.678817057,2.8521807554,-0.915361096,-1.866215714,-0.643583817,-0.511997542,-2.498637467,2.1826016036,1.6002162057,1.4439139684,-0.587704062,-3.303904741
0.447937431,0.066676652,-0.4501535,0.4223922791,0.0640659276,-2.07061001,-1.110417331,-0.331657292,-1.428276064,-0.108903563,-0.775556567,0.6751126531,0.0813851304,0.9962881993,-1.211138036,0.765026634
0.7064958671,-0.182957198,-0.975457774,0.7707126769,-0.061107941,0.2628296603,-0.236787235,1.4910211331,-0.691960663,1.0864479886,-1.705778282,0.1938895517,-0.240015708,0.2598064117,-0.121193918,0.3042612937
1.3428000301,-0.403239731,-1.446333799,1.4133726725,-0.292707071,-1.374794744,1.8975110417,1.0200796767,-0.21439397,-3.562851031,-1.417674802,1.455194701,0.0852330249,-0.229891062,1.1583841224,-1.730327914
1.3289114705,0.4726615065,0.8703359611,1.3518365142,0.6181126815,-0.80516322,0.3829104902,1.9662495693,0.8566628739,-0.94126372,-0.361717864,-0.810371738,0.5634427173,0.578977813,-0.923477059,2.6631431123
0.9992039318,-0.383852139,-1.013630872,0.9999220921,-0.447100528,0.0847885862,-1.294431048,-1.116510891,-0.043249484,-0.897945252,0.5574207409,0.4237549347,-0.248349428,0.4128337469,1.5537611971,-0.264650075
2.2121803825,-1.694823491,-0.729702327,2.3096733716,-1.640755343,-0.117878729,0.9238285479,0.384333574,0.157201034,0.4820147803,0.9386111461,-0.11339296,0.1481565537,0.1377686452,-0.415271615,2.2009742315
-0.61289281,-0.588591803,-0.753192309,-0.524509294,-0.67309845,-1.379742709,-0.407525285,0.6224614772,0.8355400727,0.3543046809,1.1382870247,1.4410300297,-1.330640287,-1.753912204,0.133376991,-2.03102594
0.3237327008,0.5835948145,-0.216372283,0.2889056996,0.6258018622,1.9991043836,0.0332722528,-1.247896222,0.1851398951,1.2216332178,0.2523186814,1.1573508883,-0.692233939,0.8472634682,0.1999515202,1.4156207803
-1.173810968,-0.593265252,0.8566107381,-1.23744078,-0.562979033,-0.077302642,-2.052407208,-0.104007242,1.5026697073,0.4734306512,-0.258889969,0.332814605,-0.275792428,1.6105840404,1.5029559609,-0.22221305
-1.806127077,0.5474802377,-0.15531342,-1.814883677,0.4693594212,-1.832717372,0.1290817245,0.0022501318,-2.063704005,0.5009227981,0.3544340299,-0.032503558,-0.155253989,-0.579952549,-0.063047674,-1.869427651
-0.781648991,-0.675222445,0.3729703713,-0.753008115,-0.715356311,0.4727714274,1.1097921981,-0.218393605,0.8132278999,-1.958991414,-0.871562868,1.3329102645,0.6343515883,-0.445784291,-0.514361605,-0.690266035
0.1447211101,0.7821679623,-1.104922246,0.1710045704,0.8211274714,1.7582498116,0.0236333724,0.5319535859,0.1688682894,-0.140440091,1.7431689252,-0.846297541,-0.045073951,2.2109617968,1.3792098522,0.3941818341
-0.306351817,0.9879586842,0.3724460307,-0.272460196,0.8700244857,0.4374144878,1.0867946586,-0.742176418,-0.313058422,1.1728678249,-0.170510351,0.7236322819,-0.400669804,0.8647627052,0.2933742649,3.4513505628
