id,time,wave,cons,covar,ccovar,y
1.0,0.0,1.0,1,137.0,23.542900000000003,205.0
1.0,1.0,2.0,1,137.0,23.542900000000003,217.0
1.0,2.0,3.0,1,137.0,23.542900000000003,268.0
1.0,3.0,4.0,1,137.0,23.542900000000003,302.0
2.0,0.0,1.0,1,123.0,9.542900000000003,219.0
2.0,1.0,2.0,1,123.0,9.542900000000003,243.0
2.0,2.0,3.0,1,123.0,9.542900000000003,279.0
2.0,3.0,4.0,1,123.0,9.542900000000003,302.0
3.0,0.0,1.0,1,129.0,15.542900000000003,142.0
3.0,1.0,2.0,1,129.0,15.542900000000003,212.0
3.0,2.0,3.0,1,129.0,15.542900000000003,250.0
3.0,3.0,4.0,1,129.0,15.542900000000003,289.0
4.0,0.0,1.0,1,125.0,11.542900000000003,206.0
4.0,1.0,2.0,1,125.0,11.542900000000003,230.0
4.0,2.0,3.0,1,125.0,11.542900000000003,248.0
4.0,3.0,4.0,1,125.0,11.542900000000003,273.0
5.0,0.0,1.0,1,81.0,-32.4571,190.0
5.0,1.0,2.0,1,81.0,-32.4571,220.0
5.0,2.0,3.0,1,81.0,-32.4571,229.0
5.0,3.0,4.0,1,81.0,-32.4571,220.0
6.0,0.0,1.0,1,110.0,-3.457099999999997,165.0
6.0,1.0,2.0,1,110.0,-3.457099999999997,205.0
6.0,2.0,3.0,1,110.0,-3.457099999999997,207.0
6.0,3.0,4.0,1,110.0,-3.457099999999997,263.0
7.0,0.0,1.0,1,99.0,-14.457099999999997,170.0
7.0,1.0,2.0,1,99.0,-14.457099999999997,182.0
7.0,2.0,3.0,1,99.0,-14.457099999999997,214.0
7.0,3.0,4.0,1,99.0,-14.457099999999997,268.0
8.0,0.0,1.0,1,113.0,-0.45709999999999695,96.0
8.0,1.0,2.0,1,113.0,-0.45709999999999695,131.0
8.0,2.0,3.0,1,113.0,-0.45709999999999695,159.0
8.0,3.0,4.0,1,113.0,-0.45709999999999695,213.0
9.0,0.0,1.0,1,104.0,-9.457099999999997,138.0
9.0,1.0,2.0,1,104.0,-9.457099999999997,156.0
9.0,2.0,3.0,1,104.0,-9.457099999999997,197.0
9.0,3.0,4.0,1,104.0,-9.457099999999997,200.0
10.0,0.0,1.0,1,96.0,-17.457099999999997,216.0
10.0,1.0,2.0,1,96.0,-17.457099999999997,252.0
10.0,2.0,3.0,1,96.0,-17.457099999999997,274.0
10.0,3.0,4.0,1,96.0,-17.457099999999997,298.0
11.0,0.0,1.0,1,125.0,11.542900000000003,180.0
11.0,1.0,2.0,1,125.0,11.542900000000003,225.0
11.0,2.0,3.0,1,125.0,11.542900000000003,215.0
11.0,3.0,4.0,1,125.0,11.542900000000003,249.0
12.0,0.0,1.0,1,115.0,1.542900000000003,97.0
12.0,1.0,2.0,1,115.0,1.542900000000003,136.0
12.0,2.0,3.0,1,115.0,1.542900000000003,168.0
12.0,3.0,4.0,1,115.0,1.542900000000003,222.0
13.0,0.0,1.0,1,109.0,-4.457099999999997,145.0
13.0,1.0,2.0,1,109.0,-4.457099999999997,161.0
13.0,2.0,3.0,1,109.0,-4.457099999999997,151.0
13.0,3.0,4.0,1,109.0,-4.457099999999997,177.0
14.0,0.0,1.0,1,95.0,-18.457099999999997,195.0
14.0,1.0,2.0,1,95.0,-18.457099999999997,184.0
14.0,2.0,3.0,1,95.0,-18.457099999999997,209.0
14.0,3.0,4.0,1,95.0,-18.457099999999997,213.0
15.0,0.0,1.0,1,118.0,4.542900000000003,162.0
15.0,1.0,2.0,1,118.0,4.542900000000003,138.0
15.0,2.0,3.0,1,118.0,4.542900000000003,204.0
15.0,3.0,4.0,1,118.0,4.542900000000003,195.0
16.0,0.0,1.0,1,120.0,6.542900000000003,119.0
16.0,1.0,2.0,1,120.0,6.542900000000003,148.0
16.0,2.0,3.0,1,120.0,6.542900000000003,164.0
16.0,3.0,4.0,1,120.0,6.542900000000003,208.0
17.0,0.0,1.0,1,118.0,4.542900000000003,144.0
17.0,1.0,2.0,1,118.0,4.542900000000003,166.0
17.0,2.0,3.0,1,118.0,4.542900000000003,236.0
17.0,3.0,4.0,1,118.0,4.542900000000003,261.0
18.0,0.0,1.0,1,115.0,1.542900000000003,107.0
18.0,1.0,2.0,1,115.0,1.542900000000003,165.0
18.0,2.0,3.0,1,115.0,1.542900000000003,193.0
18.0,3.0,4.0,1,115.0,1.542900000000003,262.0
19.0,0.0,1.0,1,120.0,6.542900000000003,167.0
19.0,1.0,2.0,1,120.0,6.542900000000003,201.0
19.0,2.0,3.0,1,120.0,6.542900000000003,233.0
19.0,3.0,4.0,1,120.0,6.542900000000003,216.0
20.0,0.0,1.0,1,118.0,4.542900000000003,156.0
20.0,1.0,2.0,1,118.0,4.542900000000003,156.0
20.0,2.0,3.0,1,118.0,4.542900000000003,197.0
20.0,3.0,4.0,1,118.0,4.542900000000003,246.0
21.0,0.0,1.0,1,126.0,12.542900000000003,165.0
21.0,1.0,2.0,1,126.0,12.542900000000003,228.0
21.0,2.0,3.0,1,126.0,12.542900000000003,279.0
21.0,3.0,4.0,1,126.0,12.542900000000003,290.0
22.0,0.0,1.0,1,121.0,7.542900000000003,197.0
22.0,1.0,2.0,1,121.0,7.542900000000003,181.0
22.0,2.0,3.0,1,121.0,7.542900000000003,185.0
22.0,3.0,4.0,1,121.0,7.542900000000003,217.0
23.0,0.0,1.0,1,108.0,-5.457099999999997,206.0
23.0,1.0,2.0,1,108.0,-5.457099999999997,209.0
23.0,2.0,3.0,1,108.0,-5.457099999999997,230.0
23.0,3.0,4.0,1,108.0,-5.457099999999997,255.0
24.0,0.0,1.0,1,104.0,-9.457099999999997,182.0
24.0,1.0,2.0,1,104.0,-9.457099999999997,196.0
24.0,2.0,3.0,1,104.0,-9.457099999999997,217.0
24.0,3.0,4.0,1,104.0,-9.457099999999997,199.0
25.0,0.0,1.0,1,118.0,4.542900000000003,174.0
25.0,1.0,2.0,1,118.0,4.542900000000003,198.0
25.0,2.0,3.0,1,118.0,4.542900000000003,229.0
25.0,3.0,4.0,1,118.0,4.542900000000003,236.0
26.0,0.0,1.0,1,104.0,-9.457099999999997,199.0
26.0,1.0,2.0,1,104.0,-9.457099999999997,238.0
26.0,2.0,3.0,1,104.0,-9.457099999999997,253.0
26.0,3.0,4.0,1,104.0,-9.457099999999997,282.0
27.0,0.0,1.0,1,124.0,10.542900000000003,160.0
27.0,1.0,2.0,1,124.0,10.542900000000003,178.0
27.0,2.0,3.0,1,124.0,10.542900000000003,189.0
27.0,3.0,4.0,1,124.0,10.542900000000003,229.0
28.0,0.0,1.0,1,130.0,16.542900000000003,184.0
28.0,1.0,2.0,1,130.0,16.542900000000003,231.0
28.0,2.0,3.0,1,130.0,16.542900000000003,260.0
28.0,3.0,4.0,1,130.0,16.542900000000003,292.0
29.0,0.0,1.0,1,87.0,-26.457099999999997,174.0
29.0,1.0,2.0,1,87.0,-26.457099999999997,194.0
29.0,2.0,3.0,1,87.0,-26.457099999999997,189.0
29.0,3.0,4.0,1,87.0,-26.457099999999997,188.0
30.0,0.0,1.0,1,131.0,17.542900000000003,215.0
30.0,1.0,2.0,1,131.0,17.542900000000003,226.0
30.0,2.0,3.0,1,131.0,17.542900000000003,257.0
30.0,3.0,4.0,1,131.0,17.542900000000003,310.0
31.0,0.0,1.0,1,109.0,-4.457099999999997,147.0
31.0,1.0,2.0,1,109.0,-4.457099999999997,188.0
31.0,2.0,3.0,1,109.0,-4.457099999999997,197.0
31.0,3.0,4.0,1,109.0,-4.457099999999997,232.0
32.0,0.0,1.0,1,115.0,1.542900000000003,127.0
32.0,1.0,2.0,1,115.0,1.542900000000003,172.0
32.0,2.0,3.0,1,115.0,1.542900000000003,222.0
32.0,3.0,4.0,1,115.0,1.542900000000003,273.0
33.0,0.0,1.0,1,104.0,-9.457099999999997,165.0
33.0,1.0,2.0,1,104.0,-9.457099999999997,217.0
33.0,2.0,3.0,1,104.0,-9.457099999999997,230.0
33.0,3.0,4.0,1,104.0,-9.457099999999997,286.0
34.0,0.0,1.0,1,110.0,-3.457099999999997,76.0
34.0,1.0,2.0,1,110.0,-3.457099999999997,139.0
34.0,2.0,3.0,1,110.0,-3.457099999999997,150.0
34.0,3.0,4.0,1,110.0,-3.457099999999997,214.0
35.0,0.0,1.0,1,110.0,-3.457099999999997,166.0
35.0,1.0,2.0,1,110.0,-3.457099999999997,197.0
35.0,2.0,3.0,1,110.0,-3.457099999999997,203.0
35.0,3.0,4.0,1,110.0,-3.457099999999997,233.0
